,Alter,Geschlecht,BMI,Kinder,Raucher,Region,Preise,,,preise,ja,nein,Südwest,Südost,Nordwest,Nordost,alter,männlich,weiblich
,19,weiblich,27.9,0,ja,Südwest,16884.924,,durchschnitt,13336.06,35089.27,7948.62,19125.52,9026.23,10803.82,11237.62,36.06,13120.55,13591.98
,18,männlich,33.77,1,nein,Südost,1725.5523,,min,,16884.924,1137.011,,,,,18,,
,28,männlich,33,3,nein,Südost,4449.462,,max,,51194.55914,28923.13692,,,,,63,,
,33,männlich,22.705,0,nein,Nordwest,21984.47061,,zählt,,7,28,10,8,8,8,,19,16
,32,männlich,28.88,0,nein,Nordwest,3866.8552,,,,,,,, ,,,,
,31,weiblich,25.74,0,nein,Südost,3756.6216,,,,,,,,,,,,
,46,weiblich,33.44,1,nein,Südost,8240.5896,,,,,,,,,,,,
,37,weiblich,27.74,3,nein,Nordwest,7281.5056,,,,,,,,,,,,
,37,männlich,29.83,2,nein,Nordost,6406.4107,,,,,,,,,,,,
,60,weiblich,25.84,0,nein,Nordwest,28923.13692,,,,,,,,,,,,
,25,männlich,26.22,0,nein,Nordost,2721.3208,,,,,,,,,,,,
,62,weiblich,26.29,0,ja,Südost,27808.7251,,,,,,,,,,,,
,23,männlich,34.4,0,nein,Südwest,1826.843,,,,,,,,,,,,
,56,weiblich,39.82,0,nein,Südost,11090.7178,,,,,,,,,,,,
,27,männlich,42.13,0,ja,Südwest,39611.7577,,,,,,,,,,,,
,19,männlich,24.6,1,nein,Südwest,1837.237,,,,,,,,,,,,
,52,weiblich,30.78,1,nein,Nordost,10797.3362,,,,,,,,,,,,
,23,männlich,23.845,0,nein,Nordost,2395.17155,,,,,,,,,,,,
,56,männlich,40.3,0,nein,Südwest,13336.05659,,,,,,,,,,,,
,30,männlich,35.3,0,ja,Südwest,36837.467,,,,,,,,,,,,
,60,weiblich,36.005,0,nein,Nordost,13228.84695,,,,,,,,,,,,
,30,weiblich,32.4,1,nein,Südwest,4149.736,,,,,,,,,,,,
,18,männlich,29.12842857,0,nein,Südost,1137.011,,,,,,,,,,,,
,34,weiblich,31.92,1,ja,Nordost,37701.8768,,,,,,,,,,,,
,37,männlich,28.025,2,nein,Nordwest,6203.90175,,,,,,,,,,,,
,59,weiblich,27.72,3,nein,Südost,14001.1338,,,,,,,,,,,,
,63,weiblich,23.085,0,nein,Nordost,14451.83515,,,,,,,,,,,,
,55,weiblich,32.775,2,nein,northwest,12268.63225,,,,,,,,,,,,
,23,männlich,17.385,1,nein,Nordwest,2775.19215,,,,,,,,,,,,
,22,männlich,35.6,0,ja,Südwest,35585.576,,,,,,,,,,,,
,18,weiblich,26.315,0,nein,Nordost,2198.18985,,,,,,,,,,,,
,19,weiblich,28.6,5,nein,Südwest,4687.797,,,,,,,,,,,,
,63,männlich,28.31,0,nein,Nordwest,13770.0979,,,,,,,,,,,,
,28,männlich,36.4,1,ja,Südwest,51194.55914,,,,,,,,,,,,
,19,männlich,20.425,0,nein,Nordwest,1625.43375,,,,,,,,,,,,
insgesamt,,36,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,
